estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
561,327,8,"(200, 300)","(4, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
562,327,8,"(200, 300)","(4, 16)",7500,0.9031054330397726,10.358035206270358,GTI_BW
563,327,8,"(200, 300)","(4, 32)",7500,0.9031054330397726,10.358035206270358,GTI_BW
564,327,8,"(200, 300)","(4, 64)",7500,0.9172886694034089,10.197877922643443,GTI_BW
565,327,8,"(200, 300)","(8, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
566,327,8,"(200, 300)","(8, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
567,327,8,"(200, 300)","(8, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
568,327,8,"(200, 300)","(8, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
569,327,8,"(200, 300)","(8, 16)",7500,0.9031054330397726,10.358035206270358,GTI_BW
570,327,8,"(200, 300)","(8, 32)",7500,0.9031054330397726,10.358035206270358,GTI_BW
571,327,8,"(200, 300)","(16, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
572,327,8,"(200, 300)","(16, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
573,327,8,"(200, 300)","(16, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
574,327,8,"(200, 300)","(16, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
575,327,8,"(200, 300)","(16, 16)",7500,0.9031054330397726,10.358035206270358,GTI_BW
576,327,8,"(200, 300)","(32, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
577,327,8,"(200, 300)","(32, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
578,327,8,"(200, 300)","(32, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
579,327,8,"(200, 300)","(32, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
580,327,8,"(200, 300)","(64, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
581,327,8,"(200, 300)","(64, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
582,327,8,"(200, 300)","(64, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
583,327,8,"(200, 300)","(128, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
584,327,8,"(200, 300)","(128, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
585,327,8,"(200, 300)","(256, 1)",7500,0.9031054330397726,10.358035206270358,GTI_BW
586,327,16,"(200,)","(8,)",25,6.760244379090909,1.3837366440971688,"Trip_Count, Latencies"
587,327,16,"(200, 300)","(1, 8)",7600,1.2937667406060607,7.230358902268555,Compute
588,327,16,"(200,)","(16,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
589,327,16,"(200, 300)","(1, 16)",3800,0.7967311603124999,11.740971530134393,GTI_BW
590,327,16,"(200,)","(32,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
591,327,16,"(200, 300)","(1, 32)",3800,0.7967311603124999,11.740971530134393,GTI_BW
592,327,16,"(200,)","(64,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
593,327,16,"(200, 300)","(1, 64)",3800,0.7967311603124999,11.740971530134393,GTI_BW
594,327,16,"(200,)","(128,)",13,6.763317413636363,1.3831079185400112,"Trip_Count, Latencies"
595,327,16,"(200, 300)","(1, 128)",3800,0.7967311603124999,11.740971530134393,GTI_BW
596,327,16,"(200,)","(256,)",13,9.300712231818181,1.0057722072507695,Trip_Count
597,327,16,"(200, 300)","(1, 256)",3800,0.7967311603124999,11.740971530134393,GTI_BW
598,327,16,"(200, 300)","(2, 4)",7500,1.296839775151515,7.21322560399344,Compute
599,327,16,"(200, 300)","(2, 8)",3800,0.7967311603124999,11.740971530134393,GTI_BW
600,327,16,"(200, 300)","(2, 16)",3800,0.7967311603124999,11.740971530134393,GTI_BW
601,327,16,"(200, 300)","(2, 32)",3800,0.7967311603124999,11.740971530134393,GTI_BW
602,327,16,"(200, 300)","(2, 64)",3800,0.7967311603124999,11.740971530134393,GTI_BW
603,327,16,"(200, 300)","(2, 128)",3800,0.7967311603124999,11.740971530134393,GTI_BW
604,327,16,"(200, 300)","(4, 2)",7500,1.296839775151515,7.21322560399344,Compute
605,327,16,"(200, 300)","(4, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
606,327,16,"(200, 300)","(4, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
607,327,16,"(200, 300)","(4, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
608,327,16,"(200, 300)","(4, 32)",3750,0.7967311603124999,11.740971530134393,GTI_BW
609,327,16,"(200, 300)","(4, 64)",3750,0.7967311603124999,11.740971530134393,GTI_BW
610,327,16,"(200, 300)","(8, 1)",7500,1.296839775151515,7.21322560399344,Compute
611,327,16,"(200, 300)","(8, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
612,327,16,"(200, 300)","(8, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
613,327,16,"(200, 300)","(8, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
614,327,16,"(200, 300)","(8, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
615,327,16,"(200, 300)","(8, 32)",3750,0.7967311603124999,11.740971530134393,GTI_BW
616,327,16,"(200, 300)","(16, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
617,327,16,"(200, 300)","(16, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
618,327,16,"(200, 300)","(16, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
619,327,16,"(200, 300)","(16, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
620,327,16,"(200, 300)","(16, 16)",3750,0.7967311603124999,11.740971530134393,GTI_BW
621,327,16,"(200, 300)","(32, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
622,327,16,"(200, 300)","(32, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
623,327,16,"(200, 300)","(32, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
624,327,16,"(200, 300)","(32, 8)",3750,0.7967311603124999,11.740971530134393,GTI_BW
625,327,16,"(200, 300)","(64, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
626,327,16,"(200, 300)","(64, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
627,327,16,"(200, 300)","(64, 4)",3750,0.7967311603124999,11.740971530134393,GTI_BW
628,327,16,"(200, 300)","(128, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
629,327,16,"(200, 300)","(128, 2)",3750,0.7967311603124999,11.740971530134393,GTI_BW
630,327,16,"(200, 300)","(256, 1)",3900,0.7936581257670453,11.786432428143133,GTI_BW
631,327,32,"(200,)","(8,)",25,9.297639197272728,1.0061046327915073,Trip_Count
632,327,32,"(200, 300)","(1, 8)",7600,2.3024231093939393,4.062849192328658,Compute
633,327,32,"(200,)","(16,)",13,9.300712231818181,1.0057722072507695,Trip_Count
634,327,32,"(200, 300)","(1, 16)",3800,1.2497982299999997,7.484726450924807,Compute
635,327,32,"(200,)","(32,)",7,8.987735482727272,1.0407958587986248,Trip_Count
636,327,32,"(200, 300)","(1, 32)",2000,0.735270469403409,12.72239027631569,GTI_BW
637,327,32,"(200,)","(64,)",7,8.987735482727272,1.0407958587986248,Trip_Count
638,327,32,"(200, 300)","(1, 64)",2000,0.735270469403409,12.72239027631569,GTI_BW
639,327,32,"(200,)","(128,)",7,8.987735482727272,1.0407958587986248,Trip_Count
640,327,32,"(200, 300)","(1, 128)",2000,0.735270469403409,12.72239027631569,GTI_BW
641,327,32,"(200,)","(256,)",7,8.987735482727272,1.0407958587986248,Trip_Count
642,327,32,"(200, 300)","(1, 256)",2000,0.735270469403409,12.72239027631569,GTI_BW
643,327,32,"(200, 300)","(2, 4)",7500,2.305496143939394,4.057433752379292,Compute
644,327,32,"(200, 300)","(2, 8)",3800,1.2497982299999997,7.484726450924807,Compute
645,327,32,"(200, 300)","(2, 16)",1900,0.7383435039488635,12.669438845700029,GTI_BW
646,327,32,"(200, 300)","(2, 32)",1900,0.7383435039488635,12.669438845700029,GTI_BW
647,327,32,"(200, 300)","(2, 64)",1900,0.7383435039488635,12.669438845700029,GTI_BW
